MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
2700381|C & C PORTABLE PLANT|Surface|Active|C & C TRUCKING LLC|OTHER|BRUCE P  COLL|NH|Hillsborough|42.783056|-71.917778|OTHER|Construction Sand and Gravel|SandAndGravel|3|JAFFERY
2700384|CR04 Metso Jaw Crusher|Surface|Active|NorthEast Earth Mechanics, LLC|OTHER|James N  Locke II|NH|Merrimack|43.313889|-71.316389|OTHER|Construction Sand and Gravel|SandAndGravel|2|PITTSFIELD
2700391|W. ANGELINI LLC|Surface|Active|WILLIAM P. ANGELINI JR.|OTHER|William P  Angelini|NH|Belknap|43.32|-71.225|OTHER|Construction Sand and Gravel|SandAndGravel|2|BARNSTEAD
2700392|Dimensional Earth Resources|Surface|Intermittent|DMS Quarry, LLC|OTHER|Brenda  Murray; Byron  Seyler; Gerald  Seyler; Ivy  Dolan; Amy  Seyler|NH|Sullivan|43.199444|-72.319722|OTHER|Dimension Granite|Stone|8|Acworth
2700394|Mt William Quarry|Surface|Intermittent|C J Bolton Inc|OTHER|Christopher J  Bolton|NH|Hillsborough|43.0975|-71.69|OTHER|Construction Sand and Gravel|SandAndGravel|4|Weare
2700398|Neville Materials LLC|Surface|Intermittent|John E. Neville Excavating Inc.|OTHER|John E Neville|NH|Hillsborough|43.019167|-71.655278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Goffstown
2700401|PORTABLE PLANT|Surface|Active|JCK SAND & GRAVEL LLC|OTHER|Keith A Dupuis|NH|Cheshire|42.814722|-71.986111|OTHER|Construction Sand and Gravel|SandAndGravel|2|JAFFREY
2700402|Conkey's Bog Road Pit|Surface|Intermittent|Conkey Enterprises|OTHER|Art C Conkey Jr.|NH|Grafton|43.554722|-72.101389|OTHER|Construction Sand and Gravel|SandAndGravel|4|Enfield
2700406|Benton Enterprises Gravel Pit|Surface|Intermittent|Benton Enterprises|OTHER|Shirley D  Benton|NH|Grafton|43.916389|-71.678611|OTHER|Construction Sand and Gravel|SandAndGravel|2|THORNTON
2700416|Axtec #1|Surface|Intermittent|Jeffers Sand & Gravel|OTHER|Clark E.  Jeffers|NH|Coos|44.943056|-71.408611|OTHER|Construction Sand and Gravel|SandAndGravel|23|Columbia
2700417|Extec E-7 Portable Screen|Surface|Intermittent|Presby Construction, Inc.|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|44.216389|-71.807778|OTHER|Construction Sand and Gravel|SandAndGravel|2|Lisbon
